"mlb_id","player_name","team","games","n_pitch","strikes_plus_minus","strikes_pm_per_pitch","strikes_pm_per_game","strikes_pm_per_100game"
621512,"Tomas Nido","NYM",51,3021,61.2883154978626,0.0202874265136917,1.42011985595842,142.011985595842
624431,"Jose Trevino","TEX",88,6234,108.189886838634,0.0173548102083148,1.21483671458203,121.483671458203
545358,"Max Stassi","LAA",85,6008,103.818118511845,0.0172799797789355,1.20959858452549,120.959858452549
641680,"Jonah Heim","TEX",78,5311,84.6731080146274,0.0159429689351586,1.1160078254611,111.60078254611
595956,"Cam Gallagher","KC",46,2687,41.0057687135704,0.0152607996701044,1.06825597690731,106.825597690731
605131,"Austin Barnes","LAD",52,3432,45.8460063727107,0.013358393465242,0.935087542566943,93.5087542566943
543309,"Kyle Higashioka","NYY",65,4170,55.5892225234711,0.0133307488065878,0.933152416461146,93.3152416461146
666163,"Ben Rortvedt","MIN",39,2338,28.1810194216669,0.0120534728065299,0.843743096457092,84.3743096457092
572287,"Mike Zunino","TB",105,6679,79.4001748485898,0.0118880333655622,0.832162335589353,83.2162335589353
624512,"Reese McGuire","TOR",72,4485,52.3844331432192,0.0116799182036163,0.817594274253143,81.7594274253143
680777,"Ryan Jeffers","MIN",84,5475,59.5072888406576,0.0108689112037731,0.760823784264115,76.0823784264115
607732,"Jacob Stallings","PIT",104,7908,83.0590982129797,0.0105031737750354,0.735222164252476,73.5222164252476
543592,"Austin Nola","SEA",47,3353,35.1898342444038,0.0104950295986889,0.73465207190822,73.465207190822
592663,"J.T. Realmuto","PHI",117,8328,86.4338124427886,0.0103786998610457,0.726508990273199,72.6508990273199
553882,"Omar Narvaez","MIL",109,7444,74.1034640205617,0.00995479097535756,0.696835368275029,69.6835368275029
663728,"Cal Raleigh","SEA",43,2617,26.0479304005275,0.00995335513967426,0.696734859777199,69.6734859777198
608700,"Kevin Plawecki","BOS",53,2774,27.2590145572613,0.00982660942943809,0.687862660060666,68.7862660060666
668663,"Tres Barrera","WAS",29,2036,19.4092752446886,0.00953304285102584,0.667312999571809,66.7312999571809
595978,"Austin Hedges","SD",86,6189,57.7215167646937,0.00932646901998605,0.652852831399024,65.2852831399023
571466,"Tucker Barnhart","CIN",102,7794,70.1273197501723,0.00899760325252403,0.629832227676682,62.9832227676682
669221,"Sean Murphy","OAK",112,7464,64.7993721578096,0.00868158790967438,0.607711153677207,60.7711153677206
669257,"Will Smith","LAD",116,7975,63.9975232136785,0.00802476780108821,0.561733746076175,56.1733746076175
664874,"Seby Zavala","CHW",32,2153,16.6923268440005,0.00775305473478889,0.542713831435223,54.2713831435223
518595,"Travis D'Arnaud","ATL",56,3884,29.5138451965759,0.00759882729057051,0.531917910339936,53.1917910339936
595751,"Jorge Alfaro","MIA",61,3942,29.9298711989541,0.0075925599185576,0.531479194299032,53.1479194299032
457763,"Buster Posey","SF",106,6685,46.2962007443712,0.00692538530207497,0.484776971145248,48.4776971145248
518735,"Yasmani Grandal","CHW",79,5386,35.485416826501,0.00658845466515058,0.461191826560541,46.1191826560541
444489,"Manny Pina","MIL",62,3758,24.0997557443334,0.0064129206344687,0.448904444412809,44.8904444412809
543877,"Christian Vazquez","BOS",132,9344,56.8192949274671,0.00608083207699777,0.425658245389844,42.5658245389844
641598,"Mitch Garver","MIN",59,3785,21.7831328645698,0.00575512096818224,0.402858467772757,40.2858467772757
624513,"Dom Nunez","COL",77,5300,29.8244256754115,0.00562725012743613,0.393907508920529,39.3907508920529
607345,"Kevan Smith","TB",31,2045,8.92138234339654,0.00436253415325014,0.30537739072751,30.537739072751
663886,"Tyler Stephenson","CIN",77,5282,21.128400014597,0.00400007573165411,0.280005301215787,28.0005301215787
506702,"Sandy Leon","MIA",60,3391,8.23498553721583,0.0024284829068758,0.169993803481306,16.9993803481306
519390,"Stephen Vogt","ARI",63,4245,9.62398134235991,0.00226713341398349,0.158699338978844,15.8699338978844
425877,"Yadier Molina","STL",118,8921,20.0948838015902,0.00225253713727051,0.157677599608935,15.7677599608935
547379,"Roberto Perez","CLE",43,3024,6.77810603709077,0.00224143718157763,0.156900602710434,15.6900602710434
553869,"Elias Diaz","COL",97,6725,14.6021043719375,0.00217131663523234,0.151992164466264,15.1992164466264
595284,"Andrew Knapp","PHI",47,2710,5.22654008839163,0.0019286125787423,0.135002880511961,13.5002880511961
608596,"Tom Murphy","SEA",88,5939,11.2865622788377,0.00190041459485396,0.133029021639777,13.3029021639777
543510,"James McCann","NYM",104,6765,12.3055496206798,0.00181900216122392,0.127330151285674,12.7330151285674
605244,"Aramis Garcia","OAK",30,1850,3.25117157355999,0.00175739003976215,0.123017302783351,12.3017302783351
643376,"Danny Jansen","TOR",68,4148,7.23548742770799,0.0017443315881649,0.122103211171543,12.2103211171543
592200,"Curt Casali","SF",64,3725,6.46572302258573,0.00173576456982167,0.121503519887517,12.1503519887517
608348,"Carson Kelly","ARI",90,6016,8.71266967468546,0.0014482496134783,0.101377472943481,10.1377472943481
455117,"Martin Maldonado","HOU",123,8852,9.83926537950174,0.00111153020554697,0.0778071143882876,7.78071143882876
455139,"Robinson Chirinos","NYY",26,1764,1.81129066736321,0.00102680876834649,0.0718766137842543,7.18766137842544
672386,"Alejandro Kirk","TOR",44,2723,2.72824260938796,0.00100192530642231,0.070134771449562,7.0134771449562
596142,"Gary Sanchez","NYY",110,7401,-2.23716954010888,-0.000302279359560719,-0.0211595551692503,-2.11595551692503
543228,"Yan Gomes","WAS",92,6732,-6.95304162579123,-0.0010328344661009,-0.0722984126270627,-7.22984126270627
575929,"Willson Contreras","CHC",116,8193,-9.89946150418837,-0.00120828286393121,-0.0845798004751844,-8.45798004751844
488771,"Jason Castro","HOU",51,3095,-4.5506699171674,-0.00147032953704924,-0.102923067593447,-10.2923067593447
656577,"Alex Jackson","ATL",43,2677,-6.73353447153931,-0.00251532852877823,-0.176072997014476,-17.6072997014476
656577,"Alex Jackson","ATL",43,2677,-6.73353447153931,-0.00251532852877823,-0.176072997014476,-17.6072997014476
605170,"Victor Caratini","SD",100,6595,-17.4054498280166,-0.00263918875330047,-0.184743212731033,-18.4743212731033
642336,"Francisco Mejia","TB",76,4476,-14.3705397293961,-0.00321057634705007,-0.224740344293505,-22.4740344293505
605421,"Michael Perez","TB",58,4446,-17.0157939913624,-0.00382721412311346,-0.267904988617942,-26.7904988617942
435559,"Kurt Suzuki","LAA",69,4987,-22.918287473236,-0.00459560607043031,-0.321692424930122,-32.1692424930122
662139,"Daulton Varsho","ARI",41,2797,-15.5336414609046,-0.00555367946403454,-0.388757562482418,-38.8757562482418
606988,"Grayson Greiner","DET",31,1921,-12.1605378705426,-0.00633031643443134,-0.443122150410194,-44.3122150410194
668670,"Jake Rogers","DET",36,2680,-17.1995797581621,-0.00641775364110528,-0.449242754877369,-44.9242754877369
668800,"Andrew Knizner","STL",57,3536,-25.2081362707831,-0.0071289978141355,-0.499029846989485,-49.9029846989485
606992,"Eric Haase","DET",66,4747,-35.3056801896018,-0.0074374721275757,-0.520623048930299,-52.0623048930299
488671,"Alex Avila","WAS",27,1919,-15.1675132005184,-0.00790386305394395,-0.553270413776077,-55.3270413776077
661388,"William Contreras","ATL",49,3521,-29.9492922451172,-0.00850590521020087,-0.595413364714061,-59.5413364714061
521692,"Salvador Perez","KC",124,9285,-83.2686995623517,-0.00896808826735075,-0.627766178714552,-62.7766178714552
467092,"Wilson Ramos","DET",34,2423,-22.7601992992277,-0.00939339632654877,-0.657537742858414,-65.7537742858414
600474,"Pedro Severino","BAL",108,7961,-76.3825708589866,-0.00959459500803751,-0.671621650562625,-67.1621650562625
620443,"Luis Torrens","SD",35,2378,-23.0012567734229,-0.00967252177183471,-0.67707652402843,-67.707652402843
641470,"Zack Collins","CHW",71,4471,-71.1831204987539,-0.0159210736968808,-1.11447515878165,-111.447515878165
642851,"Austin Wynns","BAL",44,3258,-52.3294862379262,-0.0160618435352751,-1.12432904746925,-112.432904746925
656180,"Riley Adams","WAS",33,2142,-36.8829527489142,-0.0172189321890356,-1.20532525323249,-120.532525323249
